Game_ID,Date,Start_Time_ET,Visitor_Team_Name,Visitor_Team_ID,Visitor_PTS,Home_Team_Name,Home_Team_ID,Home_PTS,Box_Score_Link,Arena,Attendance,Notes,Season_End_Year,Home_Win,Point_Differential,Game_Duration
202403080OKC,2024-03-08,8:00p,Miami Heat,MIA,100,Oklahoma City Thunder,OKC,107,/boxscores/202403080OKC.html,Paycom Center,18203.0,,2024,1,7,2:07
202403080LAL,2024-03-08,10:00p,Milwaukee Bucks,MIL,122,Los Angeles Lakers,LAL,123,/boxscores/202403080LAL.html,Crypto.com Arena,18997.0,,2024,1,1,2:20
202403080POR,2024-03-08,10:00p,Houston Rockets,HOU,123,Portland Trail Blazers,POR,107,/boxscores/202403080POR.html,Moda Center,18139.0,,2024,0,-16,2:06
202403090LAC,2024-03-09,4:00p,Chicago Bulls,CHI,102,Los Angeles Clippers,LAC,112,/boxscores/202403090LAC.html,Crypto.com Arena,19370.0,,2024,1,10,2:11
202403090CHO,2024-03-09,7:00p,Brooklyn Nets,BRK,99,Charlotte Hornets,CHO,110,/boxscores/202403090CHO.html,Spectrum Center,19090.0,,2024,1,11,2:08
202403090DET,2024-03-09,7:00p,Dallas Mavericks,DAL,142,Detroit Pistons,DET,124,/boxscores/202403090DET.html,Little Caesars Arena,20062.0,,2024,0,-18,2:17
202403090GSW,2024-03-09,8:30p,San Antonio Spurs,SAS,126,Golden State Warriors,GSW,113,/boxscores/202403090GSW.html,Chase Center,18064.0,,2024,0,-13,2:24
202403090PHO,2024-03-09,8:30p,Boston Celtics,BOS,117,Phoenix Suns,PHO,107,/boxscores/202403090PHO.html,Footprint Center,17071.0,,2024,0,-10,2:12
202403090DEN,2024-03-09,9:00p,Utah Jazz,UTA,121,Denver Nuggets,DEN,142,/boxscores/202403090DEN.html,Ball Arena,19632.0,,2024,1,21,2:12
202403090POR,2024-03-09,10:00p,Toronto Raptors,TOR,118,Portland Trail Blazers,POR,128,/boxscores/202403090POR.html,Moda Center,18117.0,OT,2024,1,10,2:24
202403100LAC,2024-03-10,3:00p,Milwaukee Bucks,MIL,124,Los Angeles Clippers,LAC,117,/boxscores/202403100LAC.html,Crypto.com Arena,19370.0,,2024,0,-7,2:19
202403100ATL,2024-03-10,6:00p,New Orleans Pelicans,NOP,116,Atlanta Hawks,ATL,103,/boxscores/202403100ATL.html,State Farm Arena,17695.0,,2024,0,-13,2:02
202403100MIA,2024-03-10,6:00p,Washington Wizards,WAS,110,Miami Heat,MIA,108,/boxscores/202403100MIA.html,Kaseya Center,19730.0,,2024,0,-2,2:13
